year	messages	date_after	date_before	attachments_messages	link_messages	pinned_messages	top_authors	top_topics
2019	0	2019-04-15	2019-06-16	0	0	0		
2020	354	2020-04-15	2020-06-16	28	9	0	xgoldpal (46), lgtm (35), the_mozes (29)	MPI (20), Pi-kalkul (15), OCCAM (10)
2021	7849	2021-04-15	2021-06-16	304	59	8	ishanka (875), betsst (759), nitram147 (738)	MPI (164), PRAM (106), Pi-kalkul (69)
2022	8148	2022-04-15	2022-06-16	413	120	6	Deleted User (751), aleksij (736), maybe_coffee (568)	Euler/suffix (190), MPI (161), PRAM (92)
2023	4098	2023-04-15	2023-06-16	196	43	3	monnte (1047), stupidboisbb (430), louda7658 (329)	MPI (100), Pi-kalkul (63), Broadcast/FIFO/kauzalita (48)
2024	6124	2024-04-15	2024-06-16	296	89	7	jany26 (851), bc.derkuznikov (771), matthewlele (601)	MPI (152), PRAM (68), Pi-kalkul (61)
2025	846	2025-04-15	2025-06-16	64	19	0	dalicon (84), justme8600 (64), skrugras (60)	Pi-kalkul (32), MPI (23), Distributed (16)
2026	1046	2026-04-15	2026-06-16	60	26	2	keizzha (233), bonobonobono (146), barto7864 (119)	MPI (23), PRAM (10), Monitory/semafory (8)
